sponsor_name,ticker,label,confidence,notes
"22nd Century Group, Inc.",XXII,correct,0.9941,Exact company match
"9 Meters Biopharma, Inc.",NMTRQ,correct,0.9724,Correct - NMTRQ is bankrupt ticker (Q suffix)
60 Degrees Pharmaceuticals LLC,SXTP,correct,0.9265,Exact company match
4D pharma plc,LBPWQ,incorrect,0.8483,LBPWQ is a warrant not the stock - should be LBPS
3M,MMM,correct,0.7815,Correct - 3M Company common abbreviation
3SBIO AU PTY LTD,TRSBF,correct,0.6705,Australian subsidiary of 3SBio - TRSBF is OTC ticker
AC Immune SA,ACIU,correct,1.0,clear identical match on sponsor and ticker name!
"ADMA Biologics, Inc.",ADMA,correct,1.0,identical match of sponsor and ticker name!
"AEON Biopharma, Inc.",AEON,correct,1.0,identical match of sponsor and ticker name!
AIM ImmunoTech Inc.,AIM,correct,1.0,identical matching of sponsor and ticker name!
ADC Therapeutics S.A.,ADCT,correct,0.9499,"almost identical match, just slight different spelling of SA/S.A. (In Swiss companonyme (French) or Società Anonima (Italian), which translates to a Public Limited Company (PLC) or Corporation)"
ALX Oncology Inc.,ALXO,correct,0.8185,ALX Oncology (Nasdaq: ALXO) is a clinical-stage biotechnology company advancing therapies that boost the immune system to treat cancer and extend patients’ lives.
AEYE Health Inc,LIDRW,incorrect,0.7378,"AEye, Inc., together with its subsidiaries, provides lidar systems for vehicle autonomy, advanced driver-assistance systems, and robotic vision applications in the United States, Europe, and the Asia Pacific. (www.aeye.ai)"
AION Biosystems,ANTCF,incorrect,0.7361,Aion Therapeutic Inc. engages in the health and wellness business in the United States. The company was formerly known as Osoyoos Cannabis Inc. and changed its name to Aion Therapeutic Inc. in August 2020. Aion Biosystems are a company dedicated to dramatically expanding the use and value of Remote Patient Monitoring through a unique product and technology platform.
ACRO Biomedical Co. Ltd,ACBM,correct,0.7175,"The ticker name is actually misspelled in the return from Massive API, it is actually ACRO on Yahoo Finance: https://finance.yahoo.com/quote/ACBM/profile/"
ACADIA Pharmaceuticals Inc.,ACAD,correct,1.0,exact sponsor to ticker name match!
Accuray Incorporated,ARAY,correct,1.0,perfect match!
"Aclaris Therapeutics, Inc.",ACRS,correct,1.0,perfect match!
Actinium Pharmaceuticals,ATNM,correct,0.9528,"exact match between sponsor and ticker name aside from the "", Inc"" in the ticker name."
Acura Pharmaceuticals Inc.,ACUR,correct,0.9442,"ticker name is misspelled in return from Massive API, it should actually be Acura Pharmaceuticals, Inc. (source: https://finance.yahoo.com/quote/ACUR/)"
"Abeona Therapeutics, Inc",ABEO,correct,0.9158,ticker name is written as Abeona Therapeutics Inc. on https://finance.yahoo.com/quote/ABEO/
Actuate Therapeutics Inc.,ACTU,correct,0.9131,"on https://finance.yahoo.com/quote/ACTU/ in the overview, the company name is mentioned as being ""Actuate Therapeutics, Inc., a clinical-stage biopharmaceutical company, develops therapies for the treatment of cancers in the United States."""
Acurx Pharmaceuticals Inc.,ACXP,correct,0.9116,"named Acurx Pharmaceuticals, Inc. on https://finance.yahoo.com/quote/ACXP/"
"Aardvark Therapeutics, Inc.",AARD,correct,0.911,"named Aardvark Therapeutics, Inc. on https://finance.yahoo.com/quote/AARD/"
"ARS Pharmaceuticals, Inc.",SPRY,correct,0.9052,"named ARS Pharmaceuticals, Inc. on https://finance.yahoo.com/quote/SPRY/"
"AN2 Therapeutics, Inc",ANTX,correct,0.9003,"named AN2 Therapeutics, Inc. on https://finance.yahoo.com/quote/ANTX/"
Acutus Medical,AFIB,correct,0.8925,"exact match, just missing an "", Inc."" in sponsor name"
Acacia Pharma Ltd,ACTG,incorrect,0.8876,"Acacia (NASDAQ: ACTG) is a value-oriented acquirer of businesses across public and private markets, focused on opportunistic situations within the industrials, energy, and technology sectors. Acacia Pharma is a wholly owned subsidiary of Eagle Pharmaceuticals offering a portfolio of assets focused on helping improve the care of patients undergoing serious medical treatments such as surgery, invasive procedures, or chemotherapy."
"Acuity Medical International, Inc.",AYI,incorrect,0.8828,"Acuity Inc. is a market-leading industrial technology company. We use technology to solve problems in spaces, light and more things to come.Acuity International works closely with international, federal, state, and local governments around the world to build safe, secure, healthy, and thriving communities. We are a single source for healthcare, humanitarian, disaster and emergency response, and facilities management in all corners of the world."
Achieve Life Sciences,ACHV,correct,0.8813,"Achieve Life Sciences, Inc., a late-stage pharmaceutical company, develops and commercializes cytisinicline for nicotine independence in Canada, the United States, and the United Kingdom. A clinical trial (NCT05206370) with the sponsor name Achieve Life Sciences is titled ""A Second Study of Cytisinicline for Smoking Cessation in Adult Smokers (ORCA-3)""."
ARYx Therapeutics,ARYX,correct,0.88,"from https://finance.yahoo.com/quote/ARYX/, we can see that ARYx Therapeutics, Inc. discovers and develops novel therapies for large, chronic, and oral markets. The company uses its RetroMetabolic Drug Design technology to design structurally unique molecules that retain the efficacy of original drugs."
Acumen Pharmaceuticals,ABOS,correct,0.8588,"on https://finance.yahoo.com/quote/ABOS/, the ticker name is Acumen Pharmaceuticals, Inc."
